type,entity_name,location_id,project_id,address_primary,city,state,zip_code,latitude,longitude,technology,upload_speed_anticipated,download_speed_anticipated
P,WESTCLIFF HEIGHTS,1371156521,CM61-BEAD-NV-CLA-0970-1,8208 DREAM STAR CT,LAS VEGAS,NV,89145,36.176789,-115.275443,40,2000,2000
P,WESTCLIFF PINES,1371156521,CM61-BEAD-NV-CLA-0970-1,8208 DREAM STAR CT,LAS VEGAS,NV,89145,36.176789,-115.275443,40,2000,2000
P,WESTCLIFF PINES II,1371156520,CM61-BEAD-NV-CLA-0970-1,8286 SILVER SKY DR,LAS VEGAS,NV,89145,36.176027,-115.27508,40,2000,2000
P,WESTCLIFF PINES III,1371156520,CM61-BEAD-NV-CLA-0970-1,8286 SILVER SKY DR,LAS VEGAS,NV,89145,36.176027,-115.27508,40,2000,2000
F,White Pine County Courthouse,1050922040,CM61-BEAD-NV-WHI-0991-1,1880 GREAT BASIN BLVD,ELY,NV,89301,39.241906,-114.867418,50,1000,1000
G,"White Pine County Library, UNR Extension",1050915383,CM61-BEAD-NV-WHI-0991-1,950 CAMPTON ST,ELY,NV,89301,39.247876,-114.888437,50,1000,1000
P,WINCHESTER SENIOR HOUSING,1297876705,CM61-BEAD-NV-ELK-0794-0,1806 WINCHESTER DR,ELKO,NV,89801,40.82966,-115.734124,50,2000,2000
P,WOODHAUS,1095970448,CM61-BEAD-NV-LAN-1000-1,455 ELQUIST DR,BATTLE MTN,NV,89820,40.644086,-116.945234,50,1000,1000
P,WOODLANDS APTS.,1394133021,CM61-BEAD-NV-ELK-0794-0,1040 CYPRESS ST BLDG 2,ELKO,NV,89801,40.835394,-115.782344,50,2000,2000
F,"Youth Center, Independance High School, Nevada Department Forestry Fire Station",1297874704,CM61-BEAD-NV-ELK-0794-0,101 YOUTH CENTER RD,ELKO,NV,89801,40.879464,-115.72893,50,2000,2000
